useless,name,IDH
IDH,Angra dos Reis,0.724
IDH,Aperibé,0.692
IDH,Araruama,0.718
IDH,Areal,0.684
IDH,Armação dos Búzios,0.728
IDH,Arraial do Cabo,0.733
IDH,Barra do Piraí,0.733
IDH,Barra Mansa,0.729
IDH,Belford Roxo,0.684
IDH,Bom Jardim,0.66
IDH,Bom Jesus do Itabapoana,0.732
IDH,Cabo Frio,0.735
IDH,Cachoeiras de Macacu,0.7
IDH,Cambuci,0.691
IDH,Carapebus,0.713
IDH,Comendador Levy Gasparian,0.685
IDH,Campos dos Goytacazes,0.716
IDH,Cantagalo,0.709
IDH,Cardoso Moreira,0.648
IDH,Carmo,0.696
IDH,Casimiro de Abreu,0.726
IDH,Conceição de Macabu,0.712
IDH,Cordeiro,0.729
IDH,Duas Barras,0.659
IDH,Duque de Caxias,0.711
IDH,Engenheiro Paulo de Frontin,0.722
IDH,Guapimirim,0.698
IDH,Iguaba Grande,0.761
IDH,Itaboraí,0.693
IDH,Itaguaí,0.715
IDH,Italva,0.688
IDH,Itaocara,0.713
IDH,Itaperuna,0.73
IDH,Itatiaia,0.737
IDH,Japeri,0.659
IDH,Laje do Muriaé,0.668
IDH,Macaé,0.764
IDH,Macuco,0.703
IDH,Magé,0.709
IDH,Mangaratiba,0.753
IDH,Maricá,0.765
IDH,Mendes,0.736
IDH,Mesquita,0.737
IDH,Miguel Pereira,0.745
IDH,Miracema,0.713
IDH,Natividade,0.73
IDH,Nilópolis,0.753
IDH,Niterói,0.837
IDH,Nova Friburgo,0.745
IDH,Nova Iguaçu,0.713
IDH,Paracambi,0.72
IDH,Paraíba do Sul,0.702
IDH,Paraty,0.693
IDH,Paty do Alferes,0.671
IDH,Petrópolis,0.745
IDH,Pinheiral,0.715
IDH,Piraí,0.708
IDH,Porciúncula,0.697
IDH,Porto Real,0.713
IDH,Quatis,0.69
IDH,Queimados,0.68
IDH,Quissamã,0.704
IDH,Resende,0.768
IDH,Rio Bonito,0.71
IDH,Rio Claro,0.683
IDH,Rio das Flores,0.68
IDH,Rio das Ostras,0.773
IDH,Rio de Janeiro,0.799
IDH,Santa Maria Madalena,0.668
IDH,Santo Antônio de Pádua,0.718
IDH,São Francisco de Itabapoana,0.639
IDH,São Fidélis,0.691
IDH,São Gonçalo,0.739
IDH,São João da Barra,0.671
IDH,São João de Meriti,0.719
IDH,São José de Ubá,0.652
IDH,São José do Vale do Rio Preto,0.66
IDH,São Pedro da Aldeia,0.712
IDH,São Sebastião do Alto,0.646
IDH,Sapucaia,0.675
IDH,Saquarema,0.709
IDH,Seropédica,0.713
IDH,Silva Jardim,0.654
IDH,Sumidouro,0.611
IDH,Tanguá,0.654
IDH,Teresópolis,0.73
IDH,Trajano de Moraes,0.667
IDH,Três Rios,0.725
IDH,Valença,0.738
IDH,Varre-Sai,0.659
IDH,Vassouras,0.714
IDH,Volta Redonda,0.771
